STATBEZ,Name,bezirke
10,Markt,Aachen-Mitte
13,Theater,Aachen-Mitte
14,Lindenplatz,Aachen-Mitte
15,St. Jakob,Aachen-Mitte
16,Westpark,Aachen-Mitte
17,Hanbruch,Aachen-Mitte
18,Hörn,Aachen-Mitte
21,Ponttor,Aachen-Mitte
22,Hansemannplatz,Aachen-Mitte
23,Soers,Aachen-Mitte
24,Jülicher Str.,Aachen-Mitte
25,Kalkofen,Aachen-Mitte
31,Kaiserplatz,Aachen-Mitte
32,Adalbertsteinweg,Aachen-Mitte
33,Panneschopp,Aachen-Mitte
34,Rothe Erde,Aachen-Mitte
35,Trierer Str.,Aachen-Mitte
36,Frankenberg,Aachen-Mitte
37,Forst,Aachen-Mitte
41,Beverau,Aachen-Mitte
42,Burtsch. Kurgarten,Aachen-Mitte
43,Burtscheider Abtei,Aachen-Mitte
46,Steinebrück,Aachen-Mitte
47,Marschiertor,Aachen-Mitte
48,Hangeweiher,Aachen-Mitte
51,Brand,Brand
52,Eilendorf,Eilendorf
53,Haaren,Haaren
61,Kornelimünster,Walheim
62,Oberforstbach,Walheim
63,Walheim,Walheim
64,Vaalserquartier,Laurensberg
65,Laurensberg,Laurensberg
66,Richterich,Richterich
