,postcode,city,state,population,area,lat,lng,radius,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,52062,Aachen,North Rhine-Westphalia,"8,152",1.576 km²,50.77634755,6.077642385981305,708,10,46,0,62,30,15,48,0,59,18
1,52064,Aachen,North Rhine-Westphalia,"10,981",2.017 km²,50.7695473,6.080324693416921,801,12,11,1,66,22,22,46,0,61,32
2,52066,Aachen,North Rhine-Westphalia,"20,958",7.5 km²,50.762723355377105,6.1076625460723495,1545,7,9,2,53,16,25,43,1,60,29
3,52068,Aachen,North Rhine-Westphalia,"22,000",5.6 km²,50.7800736,6.121385586997584,1335,2,5,1,16,4,11,18,0,46,18
4,52070,Aachen,North Rhine-Westphalia,"26,939",9.1 km²,50.79106955,6.096156215124257,1702,7,11,1,29,20,30,45,1,45,49
5,52072,Aachen,North Rhine-Westphalia,"21,712",19.3 km²,50.817682950000005,6.047361916065009,2479,1,6,0,5,5,4,13,0,14,6
6,52074,Aachen,North Rhine-Westphalia,"36,959",33.4 km²,50.76623035,6.041953856160451,3261,16,51,3,80,38,51,48,3,52,49
7,52076,Aachen,North Rhine-Westphalia,"24,587",55.1 km²,50.70957095,6.193844275433033,4189,2,5,0,15,5,5,14,0,16,3
8,52078,Aachen,North Rhine-Westphalia,"30,463",12.5 km²,50.761229799999995,6.136975726060928,1995,3,7,1,19,4,4,16,0,35,7
9,52080,Aachen,North Rhine-Westphalia,"24,343",15.1 km²,50.7846311,6.160786974879324,2192,2,4,2,9,2,3,16,0,12,8
